TLAB,D03,D03,D05,D05,D13,D13,D15,D15
,Re,Im,Re,Im,Re,Im,Re,Im
0,0,0,0,0,0,0,0,0
10,0.0005,0,0.0002,0,0,0,0,0
20,0.0024,0,0.001,0,0,0,-0.0002,0
30,0.0058,0,0.0024,0,0,0,-0.0004,0
40,0.0107,0.0001,0.0043,0,-0.0001,0,-0.0008,0
50,0.0168,0.0003,0.0065,0,-0.0001,0,-0.0012,0
60,0.0237,0.0006,0.009,0.0001,-0.0002,0,-0.0017,0
70,0.0313,0.001,0.0116,0.0001,-0.0003,0,-0.0023,0
80,0.0393,0.0015,0.0143,0.0002,-0.0005,0,-0.003,0
90,0.0474,0.0023,0.0169,0.0003,-0.0006,0,-0.0036,0
100,0.0556,0.0031,0.0194,0.0004,-0.0009,0,-0.0044,0
110,0.0635,0.0041,0.0218,0.0005,-0.0011,0,-0.0051,0
120,0.0712,0.0051,0.0239,0.0006,-0.0014,0,-0.0059,0
130,0.0784,0.0062,0.0259,0.0007,-0.0017,0,-0.0066,0
140,0.0851,0.0073,0.0275,0.0008,-0.0021,0,-0.0074,0.0001
150,0.0913,0.0084,0.0289,0.0008,-0.0025,0,-0.0082,0.0001
160,0.0969,0.0095,0.0301,0.0009,-0.003,0,-0.0089,0.0001
170,0.1019,0.0105,0.031,0.001,-0.0035,0,-0.0097,0.0001
180,0.1063,0.0114,0.0316,0.001,-0.004,0,-0.0104,0.0001
190,0.1101,0.0123,0.032,0.001,-0.0046,0,-0.0112,0.0001
200,0.1134,0.013,0.0321,0.001,-0.0052,0,-0.0119,0.0001
210,0.116,0.0137,0.0321,0.001,-0.0058,0,-0.0126,0.0002
220,0.1182,0.0142,0.0317,0.001,-0.0065,0,-0.0132,0.0002
230,0.1198,0.0146,0.0312,0.001,-0.0072,0.0001,-0.0139,0.0002
240,0.121,0.015,0.0305,0.0009,-0.008,0.0001,-0.0145,0.0002
250,0.1218,0.0152,0.0296,0.0009,-0.0087,0.0001,-0.0151,0.0002
260,0.1222,0.0154,0.0285,0.0008,-0.0095,0.0001,-0.0157,0.0002
270,0.1223,0.0156,0.0273,0.0007,-0.0104,0.0002,-0.0163,0.0003
280,0.1221,0.0157,0.0259,0.0007,-0.0112,0.0002,-0.0168,0.0003
290,0.1217,0.0158,0.0244,0.0006,-0.0121,0.0003,-0.0173,0.0003
300,0.1211,0.0159,0.0228,0.0005,-0.013,0.0003,-0.0178,0.0003
310,0.1204,0.0161,0.021,0.0004,-0.0139,0.0004,-0.0182,0.0003
320,0.1196,0.0162,0.0192,0.0004,-0.0148,0.0005,-0.0187,0.0004
330,0.1187,0.0164,0.0173,0.0003,-0.0157,0.0006,-0.0191,0.0004
340,0.1178,0.0167,0.0153,0.0002,-0.0167,0.0007,-0.0194,0.0004
350,0.117,0.0171,0.0132,0.0002,-0.0176,0.0009,-0.0198,0.0004
360,0.1163,0.0176,0.0111,0.0001,-0.0186,0.001,-0.0201,0.0004
370,0.1157,0.0183,0.0089,0.0001,-0.0196,0.0012,-0.0204,0.0004
380,0.1153,0.0191,0.0067,0,-0.0206,0.0015,-0.0206,0.0004
390,0.1152,0.0201,0.0044,0,-0.0216,0.0017,-0.0209,0.0005
400,0.1152,0.0213,0.0021,0,-0.0226,0.0021,-0.0211,0.0005
410,0.1156,0.0227,-0.0002,0,-0.0236,0.0024,-0.0213,0.0005
420,0.1163,0.0244,-0.0025,0,-0.0246,0.0028,-0.0214,0.0005
430,0.1174,0.0263,-0.0049,0,-0.0257,0.0033,-0.0215,0.0005
440,0.1189,0.0286,-0.0072,0.0001,-0.0268,0.0038,-0.0216,0.0005
450,0.1207,0.0311,-0.0095,0.0001,-0.0279,0.0044,-0.0217,0.0005
460,0.123,0.034,-0.0119,0.0001,-0.0291,0.0051,-0.0218,0.0005
470,0.1257,0.0373,-0.0142,0.0002,-0.0303,0.0058,-0.0218,0.0005
480,0.1289,0.0409,-0.0165,0.0003,-0.0315,0.0065,-0.0218,0.0006
490,0.1325,0.045,-0.0188,0.0004,-0.0329,0.0073,-0.0217,0.0006
500,0.1365,0.0495,-0.021,0.0004,-0.0342,0.0081,-0.0217,0.0006
510,0.141,0.0546,-0.0232,0.0005,-0.0357,0.009,-0.0216,0.0006
520,0.1459,0.0601,-0.0254,0.0006,-0.0371,0.0099,-0.0215,0.0006
530,0.1511,0.0662,-0.0276,0.0008,-0.0387,0.0107,-0.0213,0.0006
540,0.1567,0.0728,-0.0297,0.0009,-0.0403,0.0117,-0.0212,0.0006
550,0.1626,0.08,-0.0318,0.001,-0.0419,0.0126,-0.021,0.0007
560,0.1687,0.0879,-0.0338,0.0011,-0.0435,0.0135,-0.0208,0.0007
570,0.175,0.0964,-0.0358,0.0013,-0.0452,0.0145,-0.0205,0.0007
580,0.1814,0.1056,-0.0377,0.0014,-0.0469,0.0154,-0.0202,0.0007
590,0.1878,0.1156,-0.0396,0.0016,-0.0486,0.0164,-0.0199,0.0008
600,0.1941,0.1262,-0.0414,0.0017,-0.0504,0.0174,-0.0196,0.0008
610,0.2002,0.1377,-0.0431,0.0019,-0.0522,0.0184,-0.0193,0.0009
620,0.2059,0.1499,-0.0448,0.002,-0.054,0.0194,-0.0189,0.0009
630,0.2111,0.1629,-0.0465,0.0022,-0.0558,0.0205,-0.0185,0.0009
640,0.2155,0.1768,-0.048,0.0023,-0.0577,0.0215,-0.0181,0.001
650,0.2189,0.1913,-0.0495,0.0025,-0.0595,0.0226,-0.0176,0.0011
660,0.2209,0.2064,-0.051,0.0026,-0.0614,0.0237,-0.0171,0.0011
670,0.2211,0.2217,-0.0523,0.0027,-0.0633,0.0248,-0.0166,0.0012
680,0.2194,0.2368,-0.0536,0.0029,-0.0652,0.026,-0.0161,0.0013
690,0.2157,0.251,-0.0549,0.003,-0.0671,0.0272,-0.0155,0.0014
700,0.2103,0.2637,-0.056,0.0031,-0.069,0.0283,-0.015,0.0015
710,0.2037,0.2744,-0.0571,0.0033,-0.071,0.0296,-0.0144,0.0016
720,0.1966,0.283,-0.0581,0.0034,-0.0729,0.0308,-0.0137,0.0017
730,0.1895,0.2897,-0.059,0.0035,-0.0749,0.032,-0.0131,0.0019
740,0.1827,0.2948,-0.0599,0.0036,-0.0768,0.0333,-0.0124,0.002
750,0.1765,0.2986,-0.0606,0.0037,-0.0788,0.0346,-0.0117,0.0022
760,0.1709,0.3014,-0.0613,0.0038,-0.0808,0.036,-0.011,0.0023
770,0.1658,0.3033,-0.0619,0.0039,-0.0827,0.0373,-0.0102,0.0025
780,0.1612,0.3046,-0.0625,0.0039,-0.0847,0.0387,-0.0095,0.0027
790,0.1572,0.3054,-0.0629,0.004,-0.0867,0.0401,-0.0087,0.003
800,0.1535,0.3057,-0.0633,0.004,-0.0887,0.0415,-0.0079,0.0032
810,0.1501,0.3057,-0.0635,0.0041,-0.0907,0.043,-0.007,0.0034
820,0.1471,0.3054,-0.0637,0.0041,-0.0927,0.0445,-0.0062,0.0037
830,0.1443,0.3047,-0.0638,0.0041,-0.0946,0.046,-0.0053,0.004
840,0.1417,0.3039,-0.0638,0.0041,-0.0966,0.0475,-0.0044,0.0043
850,0.1394,0.3028,-0.0637,0.0041,-0.0986,0.0491,-0.0035,0.0047
860,0.1371,0.3016,-0.0636,0.0041,-0.1006,0.0506,-0.0026,0.005
870,0.135,0.3001,-0.0633,0.004,-0.1026,0.0523,-0.0017,0.0054
880,0.1329,0.2986,-0.0629,0.004,-0.1046,0.0539,-0.0007,0.0058
890,0.1309,0.2968,-0.0625,0.0039,-0.1065,0.0556,0.0003,0.0062
900,0.129,0.295,-0.062,0.0039,-0.1085,0.0573,0.0013,0.0067
910,0.1271,0.293,-0.0613,0.0038,-0.1105,0.059,0.0022,0.0072
920,0.1251,0.2909,-0.0606,0.0037,-0.1124,0.0607,0.0032,0.0077
930,0.1232,0.2888,-0.0598,0.0036,-0.1144,0.0625,0.0043,0.0082
940,0.1213,0.2865,-0.0589,0.0035,-0.1163,0.0643,0.0053,0.0088
950,0.1194,0.2841,-0.0578,0.0034,-0.1182,0.0661,0.0063,0.0094
960,0.1174,0.2817,-0.0567,0.0032,-0.1202,0.0679,0.0073,0.01
970,0.1153,0.2792,-0.0555,0.0031,-0.1221,0.0698,0.0084,0.0106
980,0.1132,0.2767,-0.0542,0.0029,-0.124,0.0717,0.0094,0.0113
990,0.1111,0.2741,-0.0528,0.0028,-0.1258,0.0736,0.0104,0.012
1000,0.1089,0.2715,-0.0513,0.0026,-0.1277,0.0756,0.0115,0.0128
1010,0.1066,0.2688,-0.0497,0.0025,-0.1296,0.0775,0.0125,0.0136
1020,0.1043,0.2661,-0.048,0.0023,-0.1314,0.0795,0.0135,0.0144
1030,0.1018,0.2634,-0.0462,0.0021,-0.1333,0.0815,0.0145,0.0152
1040,0.0993,0.2606,-0.0443,0.002,-0.1351,0.0836,0.0155,0.016
1050,0.0967,0.2579,-0.0422,0.0018,-0.1369,0.0856,0.0165,0.0169
1060,0.0941,0.2551,-0.0401,0.0016,-0.1387,0.0877,0.0175,0.0179
1070,0.0913,0.2523,-0.0379,0.0014,-0.1404,0.0898,0.0184,0.0188
1080,0.0884,0.2496,-0.0356,0.0013,-0.1422,0.0919,0.0194,0.0198
1090,0.0855,0.2468,-0.0331,0.0011,-0.1439,0.0941,0.0203,0.0208
1100,0.0825,0.2441,-0.0306,0.0009,-0.1456,0.0963,0.0212,0.0218
1110,0.0793,0.2413,-0.028,0.0008,-0.1473,0.0985,0.0221,0.0229
1120,0.0761,0.2386,-0.0252,0.0006,-0.149,0.1007,0.0229,0.0239
1130,0.0728,0.236,-0.0224,0.0005,-0.1506,0.1029,0.0238,0.025
1140,0.0694,0.2333,-0.0194,0.0004,-0.1523,0.1051,0.0246,0.0261
1150,0.066,0.2307,-0.0163,0.0003,-0.1539,0.1074,0.0254,0.0273
1160,0.0624,0.2281,-0.0131,0.0002,-0.1554,0.1097,0.0261,0.0284
1170,0.0587,0.2256,-0.0099,0.0001,-0.157,0.112,0.0268,0.0296
1180,0.055,0.2231,-0.0065,0,-0.1585,0.1143,0.0275,0.0307
1190,0.0512,0.2207,-0.003,0,-0.16,0.1167,0.0282,0.0319
1200,0.0473,0.2183,0.0006,0,-0.1615,0.119,0.0288,0.0331
1210,0.0433,0.216,0.0043,0,-0.163,0.1214,0.0294,0.0343
1220,0.0392,0.2137,0.0082,0.0001,-0.1644,0.1238,0.03,0.0355
1230,0.0351,0.2115,0.0121,0.0001,-0.1658,0.1262,0.0305,0.0367
1240,0.0309,0.2093,0.0161,0.0003,-0.1672,0.1286,0.031,0.038
1250,0.0266,0.2073,0.0203,0.0004,-0.1686,0.131,0.0315,0.0392
1260,0.0222,0.2053,0.0245,0.0006,-0.1699,0.1334,0.0319,0.0404
1270,0.0178,0.2033,0.0289,0.0008,-0.1712,0.1359,0.0323,0.0416
1280,0.0133,0.2015,0.0333,0.0011,-0.1725,0.1383,0.0327,0.0428
1290,0.0087,0.1997,0.0379,0.0014,-0.1737,0.1408,0.0331,0.044
1300,0.0041,0.198,0.0425,0.0018,-0.1749,0.1433,0.0334,0.0451
1310,-0.0006,0.1963,0.0473,0.0022,-0.1761,0.1458,0.0337,0.0463
1320,-0.0053,0.1948,0.0521,0.0027,-0.1773,0.1483,0.0339,0.0475
1330,-0.0101,0.1933,0.0571,0.0033,-0.1784,0.1508,0.0341,0.0486
1340,-0.015,0.1919,0.0622,0.0039,-0.1795,0.1533,0.0343,0.0497
1350,-0.0199,0.1906,0.0673,0.0046,-0.1806,0.1558,0.0345,0.0509
1360,-0.0248,0.1894,0.0726,0.0053,-0.1816,0.1583,0.0347,0.0519
1370,-0.0298,0.1883,0.0779,0.0061,-0.1826,0.1608,0.0348,0.053
1380,-0.0348,0.1873,0.0833,0.007,-0.1836,0.1634,0.0349,0.0541
1390,-0.0399,0.1864,0.0889,0.008,-0.1846,0.1659,0.035,0.0551
1400,-0.045,0.1855,0.0945,0.009,-0.1855,0.1684,0.0351,0.0562
1410,-0.0502,0.1848,0.1002,0.0101,-0.1864,0.171,0.0351,0.0572
1420,-0.0553,0.1841,0.106,0.0114,-0.1872,0.1735,0.0352,0.0581
1430,-0.0605,0.1835,0.1118,0.0127,-0.1881,0.176,0.0352,0.0591
1440,-0.0658,0.1831,0.1177,0.0141,-0.1889,0.1786,0.0352,0.06
1450,-0.071,0.1827,0.1238,0.0156,-0.1896,0.1811,0.0352,0.0609
1460,-0.0763,0.1824,0.1298,0.0172,-0.1904,0.1836,0.0351,0.0618
1470,-0.0816,0.1822,0.136,0.0188,-0.1911,0.1862,0.0351,0.0627
1480,-0.0869,0.1821,0.1422,0.0206,-0.1918,0.1887,0.0351,0.0636
1490,-0.0923,0.1822,0.1485,0.0226,-0.1924,0.1912,0.035,0.0644
1500,-0.0976,0.1823,0.1548,0.0246,-0.193,0.1937,0.035,0.0652