TLAB,I011,I011,I013,I013,I111,I111,I113,I113
,Re,Im,Re,Im,Re,Im,Re,Im
0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0
150,0,0,0,0,0.0001,0,-0.0001,0
160,0,0,0,0,0.0001,0,-0.0001,0
170,0,0,0,0,0.0001,0,-0.0001,0
180,0,0,0,0,0.0001,0,-0.0001,0
190,0,0,0,0,0.0001,0,-0.0001,0
200,0,0,0,0,0.0002,0,-0.0002,0
210,0,0,0,0,0.0002,0,-0.0002,0
220,0,0,0,0,0.0002,0,-0.0002,0
230,0,0,0,0,0.0002,0,-0.0003,0
240,0,0,0,0,0.0003,0,-0.0003,0
250,0,0,0,0,0.0003,0,-0.0003,0
260,0,0,0,0,0.0003,0,-0.0004,0
270,0,0,0,0,0.0004,0,-0.0004,0
280,0,0,0,0,0.0004,0,-0.0005,0
290,0,0,0,0,0.0004,0,-0.0005,0
300,0,0,0,0,0.0005,0,-0.0005,0
310,0,0,0,0,0.0005,0,-0.0006,0
320,0,0,0,0,0.0006,0,-0.0006,0
330,0,0,0,0,0.0006,0,-0.0007,0
340,0,0,0,0,0.0006,0,-0.0007,0
350,0,0,0,0,0.0007,0,-0.0008,0
360,0,0,0,0,0.0007,0,-0.0008,0
370,0,0,0,0,0.0007,0,-0.0009,0
380,0,0,0,0,0.0007,0,-0.0009,0
390,0,0,0,0,0.0008,0,-0.001,0
400,0,0,0,0,0.0008,0,-0.001,0
410,0,0,0,0,0.0008,0,-0.0011,0
420,0,0,0,0,0.0009,0,-0.0011,0
430,0,0,0,0,0.0009,0,-0.0012,0
440,0,0,0,0,0.0009,0,-0.0012,0
450,0,0,0,0,0.0009,0,-0.0013,0
460,0,0,0,0,0.0009,0,-0.0013,0
470,0,0,0,0,0.001,0,-0.0014,0
480,0,0,0,0,0.001,0,-0.0014,0
490,0,0,0,0,0.001,0,-0.0015,0
500,0,0,0,0,0.001,0,-0.0015,0
510,0,0,0,0,0.001,0,-0.0016,0
520,0,0,0,0,0.001,0,-0.0016,0
530,0,0,0,0,0.001,0,-0.0016,0
540,0,0,0,0,0.001,0,-0.0017,0
550,0,0,0,0,0.001,0,-0.0017,0
560,0,0,0,0,0.001,0,-0.0018,0
570,0,0,0,0,0.001,0,-0.0018,0
580,0,0,0,0,0.001,0,-0.0018,0
590,0,0,0,0,0.001,0,-0.0019,0
600,0,0,0,0,0.001,0,-0.0019,0
610,0,0,0,0,0.001,0,-0.0019,0
620,0,0,0,0,0.001,0,-0.002,0
630,0,0,0,0,0.001,0,-0.002,0.0001
640,0,0,0,0,0.001,0,-0.002,0.0001
650,0,0,0,0,0.0009,0,-0.0021,0.0001
660,0,0,0,0,0.0009,0,-0.0021,0.0001
670,0,0,0,0,0.0009,0,-0.0021,0.0001
680,0,0,0,0,0.0009,0,-0.0021,0.0001
690,0,0,0,0,0.0008,0,-0.0021,0.0001
700,0,0,0,0,0.0008,0,-0.0022,0.0001
710,0,0,0,0,0.0008,0,-0.0022,0.0001
720,0,0,0,0,0.0007,0,-0.0022,0.0001
730,0,0,0,0,0.0007,0,-0.0022,0.0001
740,0,0,0,0,0.0007,0,-0.0022,0.0001
750,0,0,0,0,0.0006,0,-0.0022,0.0001
760,0,0,0,0,0.0006,0,-0.0022,0.0001
770,0,0,0,0,0.0005,0,-0.0022,0.0001
780,0,0,0,0,0.0005,0,-0.0022,0.0002
790,0,0,0,0,0.0004,0,-0.0023,0.0002
800,0,0,0,0,0.0004,0,-0.0023,0.0002
810,0,0,0,0,0.0003,0,-0.0023,0.0002
820,0,0,0,0,0.0003,0,-0.0023,0.0002
830,0,0,0,0,0.0002,0,-0.0023,0.0002
840,0,0,0,0,0.0002,0,-0.0023,0.0002
850,0,0,0,0,0.0001,0,-0.0022,0.0003
860,0,0,0,0,0,0,-0.0022,0.0003
870,0,0,0,0,0,0,-0.0022,0.0003
880,0,0,0,0,-0.0001,0,-0.0022,0.0003
890,0,0,0,0,-0.0002,0,-0.0022,0.0003
900,0,0,0,0,-0.0002,0,-0.0022,0.0003
910,0,0,0,0,-0.0003,0,-0.0022,0.0004
920,0,0,0,0,-0.0004,0,-0.0022,0.0004
930,0,0,0,0,-0.0004,0,-0.0021,0.0004
940,0,0,0,0,-0.0005,0,-0.0021,0.0004
950,0,0,0,0,-0.0006,0,-0.0021,0.0004
960,0,0,0,0,-0.0007,0,-0.0021,0.0005
970,0,0,0,0,-0.0008,0,-0.0021,0.0005
980,0,0,0,0,-0.0008,0,-0.002,0.0005
990,0,0,0,0,-0.0009,0,-0.002,0.0005
1000,0,0,0,0,-0.001,0,-0.002,0.0006
1010,0,0,0,0,-0.0011,0,-0.002,0.0006
1020,0,0,0,0,-0.0012,0,-0.0019,0.0006
1030,0,0,0,0,-0.0013,0,-0.0019,0.0006
1040,0,0,0,0,-0.0014,0,-0.0019,0.0007
1050,0,0,0,0,-0.0015,0,-0.0018,0.0007
1060,0,0,0,0,-0.0016,0,-0.0018,0.0007
1070,0,0,0,0,-0.0017,0,-0.0017,0.0008
1080,0,0,0,0,-0.0018,0,-0.0017,0.0008
1090,0,0,0,0,-0.0019,0,-0.0017,0.0008
1100,0,0,0,0,-0.002,0,-0.0016,0.0009
1110,0,0,0,0,-0.0021,0,-0.0016,0.0009
1120,0,0,0,0,-0.0022,0,-0.0015,0.001
1130,0,0,0,0,-0.0023,0,-0.0015,0.001
1140,0,0,0,0,-0.0024,0,-0.0014,0.001
1150,0,0,0,0,-0.0025,0,-0.0014,0.0011
1160,0,0,0,0,-0.0026,0,-0.0014,0.0011
1170,0,0,0,0,-0.0027,0,-0.0013,0.0012
1180,0,0,0,0,-0.0028,0,-0.0013,0.0012
1190,0,0,0,0,-0.0029,0,-0.0012,0.0012
1200,0,0,0,0,-0.003,0,-0.0011,0.0013
1210,0,0,0,0,-0.0032,0,-0.0011,0.0013
1220,0,0,0,0,-0.0033,0,-0.001,0.0014
1230,0,0,0,0,-0.0034,0,-0.001,0.0014
1240,0,0,0,0,-0.0035,0,-0.0009,0.0015
1250,0,0,0,0,-0.0036,0,-0.0009,0.0015
1260,0,0,0,0,-0.0037,0,-0.0008,0.0016
1270,0,0,0,0,-0.0039,0,-0.0007,0.0016
1280,0,0,0,0,-0.004,0,-0.0007,0.0017
1290,0,0,0,0,-0.0041,0,-0.0006,0.0017
1300,0,0,0,0,-0.0042,0,-0.0006,0.0018
1310,0,0,0,0,-0.0044,0,-0.0005,0.0019
1320,0,0,0,0,-0.0045,0,-0.0004,0.0019
1330,0,0,0,0,-0.0046,0,-0.0004,0.002
1340,0,0,0,0,-0.0047,0,-0.0003,0.002
1350,0,0,0,0,-0.0049,0,-0.0002,0.0021
1360,0,0,0,0,-0.005,0,-0.0002,0.0022
1370,0,0,0,0,-0.0051,0,-0.0001,0.0022
1380,0,0,0,0,-0.0053,0,0,0.0023
1390,0,0,0,0,-0.0054,0,0.0001,0.0024
1400,0,0,0,0,-0.0055,0,0.0001,0.0024
1410,0,0,0,0,-0.0057,0,0.0002,0.0025
1420,0,0,0,0,-0.0058,0,0.0003,0.0026
1430,0,0,0,0,-0.0059,0,0.0004,0.0026
1440,0,0,0,0,-0.0061,0,0.0004,0.0027
1450,0,0,0,0,-0.0062,0,0.0005,0.0028
1460,0,0,0,0,-0.0063,0,0.0006,0.0029
1470,0,0,0,0,-0.0065,0,0.0007,0.0029
1480,0,0,0,0,-0.0066,0,0.0007,0.003
1490,0,0,0,0,-0.0068,0,0.0008,0.0031
1500,0,0,0,0,-0.0069,0,0.0009,0.0032