TLAB,J013,J013,J015,J015,J113,J113,J115,J115
,Re,Im,Re,Im,Re,Im,Re,Im
0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,-0.0001,0
180,0,0,0,0,0,0,-0.0001,0
190,0,0,0,0,0,0,-0.0001,0
200,0,0,0,0,-0.0001,0,-0.0001,0
210,0,0,0,0,-0.0001,0,-0.0001,0
220,0,0,0,0,-0.0001,0,-0.0001,0
230,0,0,0,0,-0.0001,0,-0.0002,0
240,0,0,0,0,-0.0001,0,-0.0002,0
250,0,0,0,0,-0.0001,0,-0.0002,0
260,0,0,0,0,-0.0001,0,-0.0002,0
270,0,0,0,0,-0.0002,0,-0.0003,0
280,0,0,0,0,-0.0002,0,-0.0003,0
290,0,0,0,0,-0.0002,0,-0.0003,0
300,0,0,0,0,-0.0002,0,-0.0004,0
310,0,0,0,0,-0.0002,0,-0.0004,0
320,0,0,0,0,-0.0003,0,-0.0005,0
330,0,0,0,0,-0.0003,0,-0.0005,0
340,0,0,0,0,-0.0003,0,-0.0005,0
350,0,0,0,0,-0.0004,0,-0.0006,0
360,0,0,0,0,-0.0004,0,-0.0006,0
370,0,0,0,0,-0.0004,0,-0.0007,0
380,0,0,0,0,-0.0005,0,-0.0007,0
390,0,0,0,0,-0.0005,0,-0.0007,0
400,0,0,0,0,-0.0005,0,-0.0008,0
410,0,0,0,0,-0.0006,0,-0.0008,0
420,0,0,0,0,-0.0006,0,-0.0009,0
430,0,0,0,0,-0.0006,0,-0.0009,0
440,0,0,0,0,-0.0007,0,-0.0009,0
450,0,0,0,0,-0.0007,0,-0.001,0
460,0,0,0,0,-0.0007,0,-0.001,0
470,0,0,0,0,-0.0008,0,-0.0011,0
480,0,0,0,0,-0.0008,0,-0.0011,0
490,0,0,0,0,-0.0009,0,-0.0011,0
500,0,0,0,0,-0.0009,0,-0.0012,0
510,0,0,0,0,-0.0009,0,-0.0012,0
520,0,0,0,0,-0.001,0,-0.0013,0
530,0,0,0,0,-0.001,0,-0.0013,0
540,0,0,0,0,-0.0011,0,-0.0013,0
550,0,0,0,0,-0.0011,0,-0.0014,0
560,0,0,0,0,-0.0011,0,-0.0014,0
570,0,0,0,0,-0.0012,0,-0.0014,0
580,0,0,0,0,-0.0012,0,-0.0014,0
590,0,0,0,0,-0.0013,0,-0.0015,0
600,0,0,0,0,-0.0013,0,-0.0015,0
610,0,0,0,0,-0.0013,0,-0.0015,0
620,0,0,0,0,-0.0014,0,-0.0015,0
630,0,0,0,0,-0.0014,0,-0.0016,0
640,0,0,0,0,-0.0015,0,-0.0016,0
650,0,0,0,0,-0.0015,0,-0.0016,0
660,0,0,0,0,-0.0016,0,-0.0016,0
670,0,0,0,0,-0.0016,0,-0.0016,0
680,0,0,0,0,-0.0016,0.0001,-0.0016,0
690,0,0,0,0,-0.0017,0.0001,-0.0017,0
700,0,0,0,0,-0.0017,0.0001,-0.0017,0
710,0,0,0,0,-0.0018,0.0001,-0.0017,0
720,0,0,0,0,-0.0018,0.0001,-0.0017,0
730,0,0,0,0,-0.0018,0.0001,-0.0017,0
740,0,0,0,0,-0.0019,0.0001,-0.0017,0.0001
750,0,0,0,0,-0.0019,0.0001,-0.0017,0.0001
760,0,0,0,0,-0.002,0.0001,-0.0017,0.0001
770,0,0,0,0,-0.002,0.0001,-0.0017,0.0001
780,0,0,0,0,-0.002,0.0001,-0.0017,0.0001
790,0,0,0,0,-0.0021,0.0001,-0.0017,0.0001
800,0,0,0,0,-0.0021,0.0001,-0.0017,0.0001
810,0,0,0,0,-0.0021,0.0001,-0.0017,0.0001
820,0,0,0,0,-0.0022,0.0002,-0.0017,0.0001
830,0,0,0,0,-0.0022,0.0002,-0.0016,0.0001
840,0,0,0,0,-0.0023,0.0002,-0.0016,0.0001
850,0,0,0,0,-0.0023,0.0002,-0.0016,0.0001
860,0,0,0,0,-0.0023,0.0002,-0.0016,0.0001
870,0,0,0,0,-0.0024,0.0002,-0.0016,0.0001
880,0,0,0,0,-0.0024,0.0002,-0.0016,0.0001
890,0,0,0,0,-0.0024,0.0002,-0.0015,0.0001
900,0,0,0,0,-0.0025,0.0002,-0.0015,0.0002
910,0,0,0,0,-0.0025,0.0003,-0.0015,0.0002
920,0,0,0,0,-0.0025,0.0003,-0.0015,0.0002
930,0,0,0,0,-0.0026,0.0003,-0.0014,0.0002
940,0,0,0,0,-0.0026,0.0003,-0.0014,0.0002
950,0,0,0,0,-0.0026,0.0003,-0.0014,0.0002
960,0,0,0,0,-0.0027,0.0003,-0.0013,0.0002
970,0,0,0,0,-0.0027,0.0004,-0.0013,0.0002
980,0,0,0,0,-0.0027,0.0004,-0.0013,0.0002
990,0,0,0,0,-0.0027,0.0004,-0.0012,0.0002
1000,0,0,0,0,-0.0028,0.0004,-0.0012,0.0003
1010,0,0,0,0,-0.0028,0.0004,-0.0011,0.0003
1020,0,0,0,0,-0.0028,0.0005,-0.0011,0.0003
1030,0,0,0,0,-0.0029,0.0005,-0.001,0.0003
1040,0,0,0,0,-0.0029,0.0005,-0.001,0.0003
1050,0,0,0,0,-0.0029,0.0005,-0.0009,0.0003
1060,0,0,0,0,-0.0029,0.0006,-0.0009,0.0003
1070,0,0,0,0,-0.003,0.0006,-0.0008,0.0004
1080,0,0,0,0,-0.003,0.0006,-0.0008,0.0004
1090,0,0,0,0,-0.003,0.0006,-0.0007,0.0004
1100,0,0,0,0,-0.003,0.0007,-0.0007,0.0004
1110,0,0,0,0,-0.0031,0.0007,-0.0006,0.0004
1120,0,0,0,0,-0.0031,0.0007,-0.0005,0.0005
1130,0,0,0,0,-0.0031,0.0007,-0.0005,0.0005
1140,0,0,0,0,-0.0031,0.0008,-0.0004,0.0005
1150,0,0,0,0,-0.0032,0.0008,-0.0004,0.0005
1160,0,0,0,0,-0.0032,0.0008,-0.0003,0.0005
1170,0,0,0,0,-0.0032,0.0009,-0.0002,0.0006
1180,0,0,0,0,-0.0032,0.0009,-0.0001,0.0006
1190,0,0,0,0,-0.0033,0.0009,-0.0001,0.0006
1200,0,0,0,0,-0.0033,0.001,0,0.0006
1210,0,0,0,0,-0.0033,0.001,0.0001,0.0006
1220,0,0,0,0,-0.0033,0.001,0.0001,0.0007
1230,0,0,0,0,-0.0033,0.0011,0.0002,0.0007
1240,0,0,0,0,-0.0034,0.0011,0.0003,0.0007
1250,0,0,0,0,-0.0034,0.0011,0.0004,0.0008
1260,0,0,0,0,-0.0034,0.0012,0.0005,0.0008
1270,0,0,0,0,-0.0034,0.0012,0.0005,0.0008
1280,0,0,0,0,-0.0034,0.0013,0.0006,0.0008
1290,0,0,0,0,-0.0035,0.0013,0.0007,0.0009
1300,0,0,0,0,-0.0035,0.0014,0.0008,0.0009
1310,0,0,0,0,-0.0035,0.0014,0.0009,0.0009
1320,0,0,0,0,-0.0035,0.0014,0.001,0.001
1330,0,0,0,0,-0.0035,0.0015,0.0011,0.001
1340,0,0,0,0,-0.0035,0.0015,0.0011,0.001
1350,0,0,0,0,-0.0036,0.0016,0.0012,0.0011
1360,0,0,0,0,-0.0036,0.0016,0.0013,0.0011
1370,0,0,0,0,-0.0036,0.0017,0.0014,0.0011
1380,0,0,0,0,-0.0036,0.0017,0.0015,0.0012
1390,0,0,0,0,-0.0036,0.0018,0.0016,0.0012
1400,0,0,0,0,-0.0036,0.0018,0.0017,0.0012
1410,0,0,0,0,-0.0036,0.0019,0.0018,0.0013
1420,0,0,0,0,-0.0037,0.0019,0.0019,0.0013
1430,0,0,0,0,-0.0037,0.002,0.002,0.0014
1440,0,0,0,0,-0.0037,0.002,0.0021,0.0014
1450,0,0,0,0,-0.0037,0.0021,0.0022,0.0014
1460,0,0,0,0,-0.0037,0.0021,0.0023,0.0015
1470,0,0,0,0,-0.0037,0.0022,0.0024,0.0015
1480,0,0,0,0,-0.0037,0.0023,0.0025,0.0016
1490,0,0,0,0,-0.0037,0.0023,0.0026,0.0016
1500,0,0,0,0,-0.0038,0.0024,0.0027,0.0016